symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2026-03-09T12:45:00+00:00,2026-03-09T13:05:00+00:00,12,13,trend,stop_loss,5101.11678,5090.52395,0.10000,-106.64173,0.71341,4,0.55592,"{'fast': 5102.694, 'slow': 5094.824333333334, 'trend_strength': 0.0015446394520766127}"
C:XAUUSD,2026-03-09T16:05:00+00:00,2026-03-09T16:15:00+00:00,16,16,trend,stop_loss,5106.40721,5094.90360,0.10000,-115.75014,0.71409,2,1.00000,"{'fast': 5098.95, 'slow': 5089.33, 'trend_strength': 0.0018902291657252324}"
C:XAUUSD,2026-03-10T13:15:00+00:00,2026-03-10T14:45:00+00:00,13,14,trend,time_stop,5214.25583,5205.90472,0.10000,-84.24054,0.72941,18,1.00000,"{'fast': 5190.862, 'slow': 5181.9130000000005, 'trend_strength': 0.0017269683995080332}"
C:XAUUSD,2026-03-11T14:50:00+00:00,2026-03-11T15:00:00+00:00,14,15,trend,stop_loss,5190.88396,5179.07687,0.10000,-118.79687,0.72590,2,0.67012,"{'fast': 5187.7480000000005, 'slow': 5179.6883333333335, 'trend_strength': 0.0015560138270869217}"
C:XAUUSD,2026-03-13T12:20:00+00:00,2026-03-13T13:10:00+00:00,12,13,trend,trailing_stop,5113.78780,5111.76225,0.10000,-20.97123,0.71579,10,1.00000,"{'fast': 5103.701999999999, 'slow': 5095.358333333334, 'trend_strength': 0.001637503414054775}"
C:XAUUSD,2026-03-16T12:00:00+00:00,2026-03-16T12:25:00+00:00,12,12,trend,take_profit,5000.76876,5021.51947,0.10000,206.80561,0.70156,5,1.00000,"{'fast': 5010.894, 'slow': 4994.067, 'trend_strength': 0.003369398127818446}"
C:XAUUSD,2026-03-18T16:50:00+00:00,2026-03-18T17:50:00+00:00,16,17,trend,trailing_stop,4887.91973,4889.58003,0.10000,15.91858,0.68442,12,0.69303,"{'fast': 4879.163, 'slow': 4871.267000000001, 'trend_strength': 0.0016209335271499814}"
C:XAUUSD,2026-03-19T14:20:00+00:00,2026-03-19T14:25:00+00:00,14,14,trend,stop_loss,4612.05766,4584.56443,0.10000,-275.57606,0.64376,1,1.00000,"{'fast': 4599.987, 'slow': 4591.091333333333, 'trend_strength': 0.0019375930515868056}"
C:XAUUSD,2026-03-20T12:10:00+00:00,2026-03-20T12:35:00+00:00,12,12,trend,stop_loss,4685.36353,4664.63803,0.10000,-207.90950,0.65450,5,1.00000,"{'fast': 4671.513, 'slow': 4662.767000000001, 'trend_strength': 0.0018757102810411652}"
C:XAUUSD,2026-03-20T16:35:00+00:00,2026-03-20T17:20:00+00:00,16,17,trend,stop_loss,4590.00590,4569.07567,0.10000,-209.94340,0.64114,9,1.00000,"{'fast': 4579.378, 'slow': 4570.8696666666665, 'trend_strength': 0.00186142549532331}"
