symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T15:15:00+00:00,2026-03-09T16:40:00+00:00,15,16,trend,take_profit,669.15344,671.56641,0.10000,0.24130,0.00000,17,1.00000,"{'fast': 667.544, 'slow': 665.8014999999999, 'trend_strength': 0.0026171464017430424}"
SPY,2026-03-09T19:20:00+00:00,2026-03-09T20:15:00+00:00,19,20,trend,trailing_stop,675.41376,676.21618,0.10000,0.08024,0.00000,11,1.00000,"{'fast': 671.3326300000001, 'slow': 670.1876466666668, 'trend_strength': 0.001708451862740601}"
SPY,2026-03-10T14:55:00+00:00,2026-03-10T15:05:00+00:00,14,15,trend,stop_loss,681.42406,680.30597,0.10000,-0.11181,0.00000,2,1.00000,"{'fast': 678.746, 'slow': 677.4587566666667, 'trend_strength': 0.0019001058303047547}"
SPY,2026-03-10T16:05:00+00:00,2026-03-10T17:15:00+00:00,16,17,trend,take_profit,680.33400,682.39087,0.10000,0.20569,0.00000,14,1.00000,"{'fast': 680.942, 'slow': 679.2795, 'trend_strength': 0.002447446154344446}"
SPY,2026-03-11T14:10:00+00:00,2026-03-11T14:20:00+00:00,14,14,trend,stop_loss,678.32400,675.84619,0.10000,-0.24778,0.00000,2,0.76172,"{'fast': 677.7079, 'slow': 676.69243, 'trend_strength': 0.0015006374461734584}"
SPY,2026-03-16T14:10:00+00:00,2026-03-16T14:30:00+00:00,14,14,trend,stop_loss,670.92353,668.79155,0.10000,-0.21320,0.00000,4,0.77210,"{'fast': 669.797, 'slow': 668.71103, 'trend_strength': 0.0016239750075603965}"
SPY,2026-03-17T14:00:00+00:00,2026-03-17T14:10:00+00:00,14,14,trend,stop_loss,673.48366,672.01639,0.10000,-0.14673,0.00000,2,1.00000,"{'fast': 673.31929, 'slow': 671.0343033333334, 'trend_strength': 0.003405171174284405}"
SPY,2026-03-19T19:15:00+00:00,2026-03-19T19:20:00+00:00,19,19,trend,stop_loss,662.12309,660.33697,0.10000,-0.17861,0.00000,1,1.00000,"{'fast': 658.833, 'slow': 657.6265999999999, 'trend_strength': 0.001834475673581304}"
SPY,2026-03-23T15:00:00+00:00,2026-03-23T15:35:00+00:00,15,15,trend,structure_exit,662.64312,658.99704,0.10000,-0.36461,0.00000,7,0.96084,"{'fast': 661.1514999999999, 'slow': 660.0658433333333, 'trend_strength': 0.0016447702568338496}"
SPY,2026-03-23T18:25:00+00:00,2026-03-23T19:10:00+00:00,18,19,trend,trailing_stop,657.67287,657.84709,0.10000,0.01742,0.00000,9,0.57732,"{'fast': 657.4625, 'slow': 656.4186266666667, 'trend_strength': 0.0015902555030073984}"
SPY,2026-03-24T15:25:00+00:00,2026-03-24T15:55:00+00:00,15,15,trend,stop_loss,656.32280,654.75725,0.10000,-0.15656,0.00000,6,1.00000,"{'fast': 654.80791, 'slow': 652.88715, 'trend_strength': 0.002941947930817701}"
SPY,2026-03-24T19:15:00+00:00,2026-03-24T19:25:00+00:00,19,19,trend,stop_loss,655.50276,654.16728,0.10000,-0.13355,0.00000,2,0.74827,"{'fast': 655.322, 'slow': 654.2035, 'trend_strength': 0.001709712650574291}"
SPY,2026-03-26T14:00:00+00:00,2026-03-26T14:40:00+00:00,14,14,trend,stop_loss,654.24770,652.37737,0.10000,-0.18703,0.00000,8,0.80499,"{'fast': 652.7465, 'slow': 651.754, 'trend_strength': 0.0015228138223930543}"
SPY,2026-03-31T14:00:00+00:00,2026-03-31T14:05:00+00:00,14,14,trend,stop_loss,642.66212,640.93294,0.10000,-0.17292,0.00000,1,1.00000,"{'fast': 640.54291, 'slow': 639.4570333333334, 'trend_strength': 0.0016981229544168475}"
SPY,2026-03-31T16:40:00+00:00,2026-04-01T18:25:00+00:00,16,18,trend,signal_exit,647.37235,653.94729,0.10000,0.65749,0.00000,213,1.00000,"{'fast': 642.3035, 'slow': 641.3385133333334, 'trend_strength': 0.0015046448117563838}"
SPY,2026-04-02T14:00:00+00:00,2026-04-02T14:35:00+00:00,14,14,trend,take_profit,649.32245,656.16718,0.10000,0.68447,0.00000,7,1.00000,"{'fast': 647.03255, 'slow': 645.8813833333334, 'trend_strength': 0.0017823190083690044}"
SPY,2026-04-02T15:50:00+00:00,2026-04-02T16:15:00+00:00,15,16,trend,structure_exit,654.75272,652.21737,0.10000,-0.25353,0.00000,5,1.00000,"{'fast': 654.92987, 'slow': 652.0982766666667, 'trend_strength': 0.004342280043749813}"
