symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:ETHUSD,2022-05-04T16:10:00+00:00,2022-05-04T16:20:00+00:00,16,16,crypto_vwap_reversion,stop_loss,2845.30082,2864.36469,0.10000,-20.91951,1.85564,2,0.67408,"{'position_intent': 'short_entry', 'z_score_20': 1.60178654380278, 'vwap_distance': 0.004292215364297691}"
X:ETHUSD,2022-07-18T15:20:00+00:00,2022-07-18T15:35:00+00:00,15,15,crypto_vwap_reversion,stop_loss,1482.42619,1493.75666,0.10000,-12.29773,0.96726,3,1.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.3334821039627875, 'vwap_distance': 0.026266085025152153}"
X:ETHUSD,2022-10-06T13:25:00+00:00,2022-10-06T13:55:00+00:00,13,13,crypto_vwap_reversion,trailing_stop,1364.27489,1362.46420,0.10000,-2.69689,0.88619,6,0.68988,"{'z_score_20': -1.587874041888798, 'vwap_distance': -0.004763703287537946}"
X:ETHUSD,2022-11-22T12:00:00+00:00,2022-11-22T12:05:00+00:00,12,12,crypto_vwap_reversion,stop_loss,1085.93360,1079.23753,0.10000,-7.39975,0.70368,1,0.82441,"{'z_score_20': -1.225118528275191, 'vwap_distance': -0.010122076838310456}"
X:ETHUSD,2022-11-30T13:30:00+00:00,2022-11-30T14:20:00+00:00,13,14,crypto_vwap_reversion,stale_breakout,1263.57463,1262.94402,0.10000,-1.45173,0.82112,10,0.60757,"{'z_score_20': -1.3370524286249033, 'vwap_distance': -0.004085354495166338}"
X:ETHUSD,2024-05-20T14:35:00+00:00,2024-05-20T15:15:00+00:00,14,15,crypto_vwap_reversion,take_profit,3082.91207,3101.25840,0.10000,16.33647,2.00986,8,0.68173,"{'z_score_20': -1.4005763710101673, 'vwap_distance': -0.005590151812963073}"
X:ETHUSD,2024-05-29T12:25:00+00:00,2024-05-29T12:30:00+00:00,12,12,crypto_vwap_reversion,stop_loss,3817.21568,3799.20911,0.10000,-20.48191,2.47534,1,0.66288,"{'z_score_20': -1.2818898424231342, 'vwap_distance': -0.005771710707924038}"
X:ETHUSD,2024-06-26T13:00:00+00:00,2024-06-26T14:35:00+00:00,13,14,crypto_vwap_reversion,trailing_stop,3374.42863,3370.34072,0.10000,-6.27996,2.19205,19,0.65145,"{'z_score_20': -1.3209906154190683, 'vwap_distance': -0.005270889677112867}"
X:ETHUSD,2024-08-19T16:35:00+00:00,2024-08-19T17:10:00+00:00,16,17,crypto_vwap_reversion,trailing_stop,2581.31151,2577.77788,0.10000,-5.21034,1.67670,7,0.82243,"{'z_score_20': -1.4467527155092856, 'vwap_distance': -0.008853734655486556}"
X:ETHUSD,2024-09-04T14:30:00+00:00,2024-09-04T14:40:00+00:00,14,14,crypto_vwap_reversion,stop_loss,2408.17574,2429.07064,0.10000,-22.46700,1.57211,2,1.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.3709884342376708, 'vwap_distance': 0.014237024832155276}"
X:ETHUSD,2024-10-04T12:15:00+00:00,2024-10-04T12:45:00+00:00,12,12,crypto_vwap_reversion,trailing_stop,2382.90586,2385.30314,0.10000,-3.94695,1.54967,6,0.67997,"{'position_intent': 'short_entry', 'z_score_20': 1.5338359202781109, 'vwap_distance': 0.004813272646298827}"
X:ETHUSD,2024-10-09T13:00:00+00:00,2024-10-09T13:40:00+00:00,13,13,crypto_vwap_reversion,stale_breakout,2433.28232,2428.74751,0.10000,-6.11497,1.58016,8,0.66035,"{'z_score_20': -1.3931821665251138, 'vwap_distance': -0.005096339047177878}"
X:ETHUSD,2024-12-26T12:35:00+00:00,2024-12-26T13:00:00+00:00,12,13,crypto_vwap_reversion,stop_loss,3366.09530,3350.06884,0.10000,-18.20922,2.18275,5,1.00000,"{'z_score_20': -1.3755198628514278, 'vwap_distance': -0.01525523155309716}"
X:ETHUSD,2025-01-17T14:50:00+00:00,2025-01-17T15:35:00+00:00,14,15,crypto_vwap_reversion,stale_breakout,3421.26035,3427.61990,0.10000,-8.58544,2.22589,9,0.88916,"{'position_intent': 'short_entry', 'z_score_20': 1.5331574079579038, 'vwap_distance': 0.010046716057899863}"
X:ETHUSD,2025-04-18T12:15:00+00:00,2025-04-18T12:30:00+00:00,12,12,crypto_vwap_reversion,stop_loss,1588.14389,1596.49774,0.10000,-9.38886,1.03501,3,0.59526,"{'position_intent': 'short_entry', 'z_score_20': 1.2130834275204794, 'vwap_distance': 0.004459492678218879}"
X:ETHUSD,2025-07-10T12:00:00+00:00,2025-07-10T12:10:00+00:00,12,12,crypto_vwap_reversion,stop_loss,2777.66002,2766.51235,0.10000,-12.94952,1.80186,2,0.64491,"{'z_score_20': -1.4636300379534901, 'vwap_distance': -0.004322836296510868}"
X:ETHUSD,2025-08-28T13:15:00+00:00,2025-08-28T14:25:00+00:00,13,14,crypto_vwap_reversion,take_profit,4603.65720,4558.46206,0.10000,42.21746,2.97769,14,0.78517,"{'position_intent': 'short_entry', 'z_score_20': 1.2743648027675556, 'vwap_distance': 0.00887024393268998}"
